Training with hyperparameters: alpha=0.05, lambda=0.0001
Training data: ./Syn_8_8_8_2_10000/syn_biny/rp30.train.npz
Test data:     ./Syn_8_8_8_2_10000/syn_biny/rn30.test.npz
Loaded data with shape [9000,26]
Defining graph...

Training on experiment 1/10...
0	Obj: 0.6974,	F: 0.6931,	Cf: 0.693,	Imb: 0.0072,	Val: 0.693,	ValImb: 0.0074,	ValObj: 0.70	ate_train: 0.0000,	pehe_train: 0.0000	ate_ood: 0.0000,	pehe_ood: 0.0000,	Acc: 55.86%,	cAcc: 48.05%
100	Obj: 0.7417,	F: 0.4414,	Cf: 0.400,	Imb: 36,	Val: 0.455,	ValImb: 35,	ValObj: 0.75	ate_train: 0.0127,	pehe_train: 0.5696	ate_ood: 0.0125,	pehe_ood: 0.5646,	Acc: 70.31%,	cAcc: 76.17%
200	Obj: 0.5007,	F: 0.2071,	Cf: 0.278,	Imb: 34,	Val: 0.221,	ValImb: 33,	ValObj: 0.51	ate_train: -0.0433,	pehe_train: 0.6343	ate_ood: -0.0139,	pehe_ood: 0.5748,	Acc: 97.27%,	cAcc: 82.42%
300	Obj: 0.4309,	F: 0.1588,	Cf: 0.197,	Imb: 30,	Val: 0.177,	ValImb: 28,	ValObj: 0.44	ate_train: -0.0138,	pehe_train: 0.7527	ate_ood: 0.0366,	pehe_ood: 0.6992,	Acc: 96.88%,	cAcc: 88.28%
400	Obj: 0.3933,	F: 0.1418,	Cf: 0.173,	Imb: 25,	Val: 0.169,	ValImb: 23,	ValObj: 0.41	ate_train: -0.0194,	pehe_train: 0.7270	ate_ood: 0.0044,	pehe_ood: 0.6156,	Acc: 98.83%,	cAcc: 91.80%
500	Obj: 0.3689,	F: 0.1288,	Cf: 0.163,	Imb: 23,	Val: 0.154,	ValImb: 21,	ValObj: 0.38	ate_train: -0.0020,	pehe_train: 0.7838	ate_ood: 0.0381,	pehe_ood: 0.6986,	Acc: 98.44%,	cAcc: 92.97%
600	Obj: 0.3708,	F: 0.1141,	Cf: 0.154,	Imb: 26,	Val: 0.141,	ValImb: 24,	ValObj: 0.39	ate_train: 0.0006,	pehe_train: 0.7816	ate_ood: 0.0341,	pehe_ood: 0.6624,	Acc: 96.88%,	cAcc: 92.58%
700	Obj: 0.3456,	F: 0.1080,	Cf: 0.164,	Imb: 22,	Val: 0.146,	ValImb: 21,	ValObj: 0.37	ate_train: -0.0026,	pehe_train: 0.8004	ate_ood: 0.0272,	pehe_ood: 0.6889,	Acc: 97.66%,	cAcc: 90.62%
800	Obj: 0.3469,	F: 0.0951,	Cf: 0.158,	Imb: 25,	Val: 0.143,	ValImb: 23,	ValObj: 0.38	ate_train: 0.0118,	pehe_train: 0.8047	ate_ood: 0.0366,	pehe_ood: 0.6767,	Acc: 96.88%,	cAcc: 90.62%
900	Obj: 0.3201,	F: 0.0961,	Cf: 0.168,	Imb: 20,	Val: 0.145,	ValImb: 18,	ValObj: 0.36	ate_train: -0.0090,	pehe_train: 0.8048	ate_ood: 0.0204,	pehe_ood: 0.6623,	Acc: 97.27%,	cAcc: 94.53%
1000	Obj: 0.3506,	F: 0.0907,	Cf: 0.183,	Imb: 27,	Val: 0.159,	ValImb: 25,	ValObj: 0.41	ate_train: 0.0183,	pehe_train: 0.8070	ate_ood: 0.0351,	pehe_ood: 0.6656,	Acc: 96.48%,	cAcc: 93.36%
1100	Obj: 0.3177,	F: 0.0813,	Cf: 0.180,	Imb: 22,	Val: 0.145,	ValImb: 21,	ValObj: 0.37	ate_train: -0.0001,	pehe_train: 0.8145	ate_ood: 0.0157,	pehe_ood: 0.6806,	Acc: 98.44%,	cAcc: 91.41%
